date,amount,description
29/03/2022,4.76,cxDrjbavjP paycheck cpeGi
09/08/2021,-63.66,vHPEcYblBl marks&spencer QtPkM
26/12/2021,75.77,PXYJiOwOsR paycheck mDxFX
19/04/2021,-80.68,fvGMuVjxet british gas eOLQZ
10/04/2021,-83.43,aoYmQIHURV sainsbury ElJzb
05/09/2020,-50.67,KCzuluSvAU vanguard gOjHC
10/02/2021,-11.77,WkjnrNyhPa fitness hsfQM
16/02/2022,-40.96,LPRKzWQFIq energy YtMKG
23/09/2020,-76.02,hemWflPwRa tfgm TOQHz
20/10/2021,32.22,rFYXETJWPR birthday gift CBkRD
02/12/2021,26.26,FmbyxMZSwc paycheck yoVOU
15/12/2021,-44.73,kqoFzjNMMA united utilities DmAvx
21/02/2022,-52.98,IFoasarQbx british gas wtiun
18/02/2022,-4.17,cDTQGtyyCx fitness srkLL
01/10/2021,-78.82,MzUqovYUXi marks&spencer yoDqY
11/11/2021,-24.96,LFosbVfdqE spa yCxBV
02/11/2021,12.19,rCDyycDCYm birthday gift EiNxZ
26/09/2020,53.49,aiCzkGjpqz paycheck ETBEG
11/10/2020,-73.75,SsPabCpsVD nandos BlMha
21/06/2022,-16.41,wPOPsKCiYH octopus uiEjS
17/09/2020,38.35,zTSqqAoZHp birthday gift PxUfl
24/06/2021,59.01,KMyVZUWdYJ birthday gift uQOVt
31/03/2022,-83.72,KJuuvKcPNg tfgm HfYFQ
24/03/2022,7.43,upmdfgzWLg paycheck tWBax
26/11/2021,62.55,PvddiBtjMh salary hiuKG
13/06/2022,-46.05,RongscfvVi apple dUVqB
18/06/2021,-45.31,MlQbeoqDBW nandos KEgRy
17/06/2021,62.81,hdSGcDqRdU salary tULcy
21/04/2021,-97.97,rPuUbYgKeu etoro sbDWm
20/07/2022,-66.49,FKazRyxNhh vanguard vMQLm
25/07/2021,-38.98,KBoSZHdjnP fuel eDJhg
01/05/2022,-30.29,MHFEqrfMMI bus mQUXD
14/07/2022,-61.35,FMPRgBhFmB amzn CeHFN
24/04/2021,-67.42,PPlYqOGNTq adobe TRncc
22/05/2021,-12.99,spXTUVxKtc m&s KBpHU
10/08/2021,28.17,xnqyEorrQI paycheck qEayH
24/08/2021,55.76,fPxBnHmDfR salary bPiLp
12/05/2021,-4.62,xtfdVOqlKa gym uWxlm
22/07/2022,-36.95,ZQryvKdPHP apple mvcYD
04/11/2021,29.67,rrWUiAOtvn birthday gift BBYmC
15/06/2022,-52.25,CHksNOBjzF etoro Jjpnz
11/02/2022,-11.29,UZTUwePPuC octopus RHyep
06/12/2021,16.71,aMHPvnbAXd salary FvDeE
23/04/2022,-16.34,mPRfeZnnnX sainsbury bNHYL
23/07/2021,-75.86,CXXMAsLzhi adobe ksWCo
16/01/2021,-53.65,lreLkIarYp cinema LKuzM
25/07/2022,-7.43,MKEICtFtlX amazon UxIqB
09/08/2021,-72.73,zvhoeXQgmh etoro zPLBv
08/07/2022,27.55,PURnhUbHRs birthday gift vxKnO
18/03/2021,-7.67,KfcIdvtQxj nabu casa ryyus
27/06/2022,-41.9,UQwInxwFbR bt PhmTH
26/11/2020,-87.18,HMhVWyPfCf etoro hpxIj
03/05/2021,-50.48,wTsgzpUiJs asda fhtbi
12/07/2021,-76.01,aguoQsXHdq sainsbury CRLcn
28/07/2021,-39.68,yrrpmpzDHc bus IgxZg
02/01/2022,-76.51,BCHuNHzUFM cinema ivuRv
07/07/2022,34.95,wiYEwtXwuD birthday gift wCwNg
13/09/2021,65.49,YwZcSntIdL salary XYesh
15/03/2021,-48.84,XeyhMrfXBv spa ijNgO
20/07/2021,-15.04,DFpRzAcMZZ tfgm ujyce
23/04/2022,-32.86,cJGRpLOATr bowling NQRLh
20/04/2021,-97.46,ryMQSuqufa coop BFkQQ
20/10/2020,-35.42,xEJkKgNOuX sainsbury lGTsT
26/05/2021,-75.02,KTkLOIVzfc energy nmKmH
03/03/2021,-61.21,WTACQRLmer british gas VnGec
03/12/2021,-45.67,BeDegoFHqC bus BqpaV
20/09/2020,-71.38,MANrKIDSqq fuel ukWUv
06/03/2022,-26.0,nORxDkBtsk aldi khFBq
18/01/2022,-49.49,IcBUUPnEfN octopus LLPhE
06/08/2021,-59.68,FpbxsAtruJ tfgm UAFOF
28/08/2020,56.81,xysjTxrGRZ paycheck JVpwa
16/05/2021,4.85,YAiLRYpZrp paycheck fTvkq
10/10/2021,79.15,MbOdKeDfvi birthday gift MfEUp
06/04/2021,-38.32,KIaDohVVEe cinema FgZCz
30/12/2020,-14.34,vTlilGnwKP amazon ZAhOW
17/07/2022,-65.76,JGiduTYPiy bowling LsAOI
29/05/2021,-12.14,PQBYRWmbay adobe ublsi
